id,name,sex,class,date,japanese,math,english,science,social,total,average,animal,tea
S0072,田中 真綾,女,1-B,2024-01,62,66,37,43,35,243,48.6,犬派,煎茶
S0073,藤井 陽一,男,1-D,2024-01,73,80,66,82,52,353,70.6,犬派,抹茶
S0074,中村 裕樹,男,2-B,2024-01,43,48,44,23,43,201,40.2,猫派,煎茶
S0075,山本 香織,女,2-B,2024-01,57,54,41,45,39,236,47.2,犬派,煎茶
S0076,田中 裕太,男,2-A,2024-01,78,59,74,63,61,335,67,猫派,抹茶
S0077,高橋 翼,男,3-A,2024-01,58,62,56,88,68,332,66.4,犬派,抹茶
S0078,池田 康弘,男,1-B,2024-01,61,58,57,65,67,308,61.6,猫派,抹茶
S0079,長谷川 陽子,女,2-D,2024-01,56,59,39,46,75,275,55,猫派,抹茶
S0080,小林 英樹,男,2-A,2024-01,92,100,97,100,100,489,97.8,犬派,玉露
S0081,橋本 太一,男,2-A,2024-01,58,52,70,60,53,293,58.6,猫派,抹茶
S0082,伊藤 くみ子,女,2-D,2024-01,49,77,69,60,75,330,66,犬派,抹茶
S0083,清水 陽子,女,2-D,2024-01,62,86,76,60,69,353,70.6,犬派,抹茶
S0084,青木 淳,男,1-C,2024-01,43,66,75,42,62,288,57.6,猫派,抹茶
S0085,渡辺 京助,男,1-A,2024-01,55,54,51,60,51,271,54.2,犬派,抹茶
S0086,加藤 あすか,女,1-A,2024-01,73,71,64,68,81,357,71.4,猫派,抹茶
S0087,田中 陽子,女,3-B,2024-01,67,78,85,60,82,372,74.4,猫派,抹茶
S0088,渡辺 淳,男,3-A,2024-01,65,52,42,43,60,262,52.4,猫派,抹茶
S0089,山本 涼平,男,1-A,2024-01,64,80,57,73,61,335,67,犬派,抹茶
S0090,松本 智也,男,2-A,2024-01,60,51,56,70,54,291,58.2,犬派,抹茶
S0091,高橋 浩,男,3-A,2024-01,71,87,96,57,74,385,77,猫派,抹茶
S0092,山田 聡太郎,男,2-C,2024-01,76,82,72,79,77,386,77.2,犬派,抹茶
S0093,林 裕美子,女,1-C,2024-01,90,90,83,82,83,428,85.6,犬派,玉露
S0094,清水 陽一,男,2-D,2024-01,71,78,96,84,72,401,80.2,犬派,玉露
S0095,近藤 裕太,男,3-C,2024-01,83,67,77,69,84,380,76,猫派,抹茶
S0096,橋本 陽子,女,2-A,2024-01,87,73,68,78,48,354,70.8,犬派,抹茶
S0097,池田 直人,男,2-A,2024-01,81,58,84,76,69,368,73.6,猫派,抹茶
S0098,木村 治,男,3-B,2024-01,100,81,81,74,70,406,81.2,猫派,玉露
S0099,橋本 陽子,女,1-C,2024-01,73,83,77,87,85,405,81,犬派,玉露
S0100,後藤 京助,男,1-C,2024-01,80,82,75,81,89,407,81.4,犬派,玉露
S0101,加藤 陽子,女,1-D,2024-01,72,90,94,85,100,441,88.2,猫派,玉露
S0102,岡田 花子,女,3-A,2024-01,45,40,73,64,57,279,55.8,猫派,抹茶
S0103,阿部 直子,女,3-A,2024-01,62,98,75,75,81,391,78.2,犬派,抹茶
S0104,近藤 聡太郎,男,2-A,2024-01,79,69,81,96,90,415,83,猫派,玉露
S0105,山口 健一,男,3-B,2024-01,88,84,92,94,100,458,91.6,猫派,玉露
S0106,山下 知実,女,2-B,2024-01,59,43,40,34,28,204,40.8,猫派,煎茶
S0107,小林 あすか,女,1-C,2024-01,83,69,69,78,99,398,79.6,猫派,抹茶
S0108,吉田 くみ子,女,2-A,2024-01,51,63,63,39,65,281,56.2,猫派,抹茶
S0109,橋本 零,男,3-D,2024-01,73,85,77,63,55,353,70.6,犬派,抹茶
S0110,伊藤 花子,女,1-A,2024-01,100,100,100,100,100,500,100,猫派,玉露
S0111,山下 舞,女,1-C,2024-01,55,61,55,54,62,287,57.4,犬派,抹茶
S0112,高橋 零,男,3-D,2024-01,81,39,77,78,45,320,64,猫派,抹茶
S0113,伊藤 結衣,女,3-A,2024-01,61,50,57,53,82,303,60.6,猫派,抹茶
S0114,西村 裕樹,男,1-B,2024-01,96,91,72,78,88,425,85,猫派,玉露
S0115,山田 翔太,男,2-B,2024-01,58,49,47,58,56,268,53.6,猫派,抹茶
S0116,前田 直子,女,1-A,2024-01,76,53,70,70,61,330,66,猫派,抹茶
S0117,加藤 あすか,女,2-A,2024-01,62,84,73,69,85,373,74.6,犬派,抹茶
S0118,中島 結衣,女,1-B,2024-01,45,43,65,46,76,275,55,猫派,抹茶
S0119,佐藤 修平,男,2-D,2024-01,55,40,37,33,42,207,41.4,猫派,煎茶
S0120,佐々木 学,男,1-B,2024-01,80,70,70,65,68,353,70.6,猫派,抹茶
S0121,橋本 翼,男,2-A,2024-01,57,61,82,76,72,348,69.6,猫派,抹茶
S0122,加藤 零,男,3-C,2024-01,73,64,62,72,60,331,66.2,犬派,抹茶
S0123,吉田 舞,女,3-B,2024-01,59,86,80,78,85,388,77.6,犬派,抹茶
S0124,斎藤 あすか,女,1-A,2024-01,100,76,82,88,95,441,88.2,猫派,玉露
S0125,吉田 明美,女,1-D,2024-01,70,79,70,71,63,353,70.6,犬派,抹茶
S0126,松本 太一,男,1-D,2024-01,42,46,66,46,82,282,56.4,猫派,抹茶
S0127,中村 結衣,女,2-B,2024-01,79,68,84,71,78,380,76,猫派,抹茶
S0128,斎藤 直樹,男,1-B,2024-01,100,100,100,100,100,500,100,猫派,玉露
S0129,松田 幹,女,2-C,2024-01,78,67,54,66,70,335,67,猫派,抹茶
S0130,藤井 充,男,2-C,2024-01,63,72,76,78,85,374,74.8,犬派,抹茶
S0131,池田 幹,女,3-C,2024-01,59,76,78,78,83,374,74.8,犬派,抹茶
S0132,藤田 康弘,男,1-C,2024-01,87,81,65,86,84,403,80.6,犬派,玉露
S0133,井上 智也,男,3-C,2024-01,61,63,84,73,80,361,72.2,猫派,抹茶
S0134,森 直樹,男,1-D,2024-01,70,79,65,71,65,350,70,犬派,抹茶
S0135,田中 美加子,女,3-C,2024-01,60,65,58,76,54,313,62.6,犬派,抹茶
S0136,吉田 美加子,女,3-A,2024-01,62,81,69,77,52,341,68.2,犬派,抹茶
S0137,後藤 直子,女,3-B,2024-01,82,74,84,68,88,396,79.2,猫派,抹茶
S0138,山田 美加子,女,1-D,2024-01,100,100,100,100,99,499,99.8,犬派,玉露
S0139,佐々木 裕樹,男,3-B,2024-01,60,50,54,53,56,273,54.6,猫派,抹茶
S0140,山崎 知実,女,2-A,2024-01,71,84,59,79,67,360,72,犬派,抹茶
S0141,松田 陽子,女,3-C,2024-01,76,58,73,70,74,351,70.2,猫派,抹茶
S0142,岡田 稔,男,3-C,2024-01,98,67,69,68,68,370,74,猫派,抹茶
S0143,山本 幹,女,3-D,2024-01,72,74,54,52,65,317,63.4,猫派,抹茶
S0144,遠藤 直子,女,2-C,2024-01,68,63,46,77,79,333,66.6,犬派,抹茶
S0145,坂本 亮介,男,1-D,2024-01,56,63,64,67,80,330,66,猫派,抹茶
S0146,藤井 加奈,女,3-B,2024-01,59,53,60,67,85,324,64.8,猫派,抹茶
S0147,佐藤 舞,女,2-A,2024-01,64,62,74,87,56,343,68.6,犬派,抹茶
S0148,石川 舞,女,2-B,2024-01,73,69,81,68,59,350,70,猫派,抹茶
S0149,山田 あすか,女,3-C,2024-01,89,87,83,89,90,438,87.6,犬派,玉露
S0150,長谷川 陽子,女,2-D,2024-01,97,89,92,100,82,460,92,犬派,玉露
S0151,松本 洋介,男,3-D,2024-01,71,75,88,77,75,386,77.2,猫派,抹茶
S0152,渡辺 直樹,男,3-A,2024-01,57,56,71,46,51,281,56.2,猫派,抹茶
S0153,鈴木 香織,女,3-C,2024-01,89,72,76,79,75,391,78.2,猫派,抹茶
S0154,加藤 康弘,男,1-C,2024-01,65,74,53,64,56,312,62.4,犬派,抹茶
S0155,田中 太郎,男,1-B,2024-01,72,82,91,100,87,432,86.4,犬派,玉露
S0156,藤田 修平,男,1-B,2024-01,80,47,39,66,56,288,57.6,猫派,抹茶
S0157,石川 舞,女,3-A,2024-01,61,57,49,41,63,271,54.2,猫派,抹茶
S0158,佐藤 直子,女,2-B,2024-01,78,98,69,64,72,381,76.2,犬派,抹茶
S0159,斉藤 花子,女,2-D,2024-01,71,66,72,56,83,348,69.6,猫派,抹茶
S0160,田中 康弘,男,1-A,2024-01,79,72,73,74,73,371,74.2,猫派,抹茶
S0161,斎藤 涼平,男,2-B,2024-01,92,81,86,78,94,431,86.2,猫派,玉露
S0162,伊藤 健一,男,3-D,2024-01,77,59,45,61,53,295,59,犬派,抹茶
S0163,佐々木 英樹,男,3-B,2024-01,76,78,63,78,58,353,70.6,犬派,抹茶
S0164,渡辺 直人,男,2-B,2024-01,53,54,50,36,45,238,47.6,猫派,煎茶
S0165,橋本 美加子,女,3-C,2024-01,58,84,78,67,70,357,71.4,犬派,抹茶
S0166,伊藤 千代,女,3-D,2024-01,52,70,66,63,70,321,64.2,犬派,抹茶
S0167,高橋 直子,女,1-D,2024-01,100,91,100,100,100,491,98.2,猫派,玉露
S0168,加藤 桃子,女,2-B,2024-01,64,77,74,79,77,371,74.2,犬派,抹茶
S0169,西村 舞,女,3-D,2024-01,80,98,87,100,78,443,88.6,犬派,玉露
S0170,岡本 治,男,2-D,2024-01,98,89,91,92,100,470,94,猫派,玉露
S0171,吉田 英樹,男,3-C,2024-01,72,77,99,95,82,425,85,犬派,玉露
S0172,小林 晃,男,2-C,2024-01,71,76,60,67,53,327,65.4,犬派,抹茶
S0173,斎藤 明美,女,3-A,2024-01,82,71,91,63,61,368,73.6,猫派,抹茶
S0174,中村 篤司,男,1-B,2024-01,83,90,68,84,72,397,79.4,犬派,抹茶
S0175,高橋 明美,女,3-B,2024-01,76,73,51,82,81,363,72.6,犬派,抹茶
S0176,高橋 淳,男,1-D,2024-01,64,65,63,55,53,300,60,猫派,抹茶
S0177,小林 さゆり,女,2-D,2024-01,81,75,65,77,41,339,67.8,犬派,抹茶
S0178,橋本 陽子,女,1-B,2024-01,69,83,76,74,98,400,80,猫派,玉露
S0179,長谷川 美加子,女,2-A,2024-01,66,62,67,63,50,308,61.6,犬派,抹茶
S0180,山田 桃子,女,2-A,2024-01,80,69,80,99,93,421,84.2,猫派,玉露
S0181,山下 舞,女,2-D,2024-01,61,61,85,68,69,344,68.8,猫派,抹茶
S0182,井上 加奈,女,3-B,2024-01,87,82,83,84,85,421,84.2,猫派,玉露
S0183,鈴木 陽子,女,1-C,2024-01,81,88,80,81,60,390,78,犬派,抹茶
S0184,高橋 七夏,女,2-A,2024-01,87,93,54,100,82,416,83.2,犬派,玉露
S0185,中村 千代,女,2-D,2024-01,76,92,76,80,100,424,84.8,犬派,玉露
S0186,長谷川 洋介,男,2-B,2024-01,69,75,72,68,70,354,70.8,犬派,抹茶
S0187,岡本 直樹,男,2-A,2024-01,100,100,100,100,100,500,100,猫派,玉露
S0188,斉藤 稔,男,3-D,2024-01,68,95,68,82,72,385,77,犬派,抹茶
S0189,佐藤 学,男,2-B,2024-01,72,72,73,85,73,375,75,犬派,抹茶
S0190,小林 零,男,2-D,2024-01,75,78,54,72,73,352,70.4,犬派,抹茶
S0191,福田 七夏,女,1-D,2024-01,79,64,66,63,65,337,67.4,猫派,抹茶
S0192,前田 あすか,女,2-D,2024-01,39,69,45,43,32,228,45.6,犬派,煎茶
S0193,近藤 花子,女,2-C,2024-01,47,76,70,53,82,328,65.6,猫派,抹茶
S0194,佐々木 陽一,男,2-A,2024-01,81,59,100,70,68,378,75.6,猫派,抹茶
S0195,小林 洋介,男,2-B,2024-01,100,99,90,91,93,473,94.6,犬派,玉露
S0196,斉藤 裕樹,男,3-A,2024-01,84,82,80,73,78,397,79.4,猫派,抹茶
S0197,高橋 太郎,男,1-B,2024-01,43,34,33,46,58,214,42.8,猫派,煎茶
S0198,坂本 直人,男,3-B,2024-01,68,73,93,73,81,388,77.6,猫派,抹茶
S0199,山口 学,男,1-D,2024-01,68,79,64,72,81,364,72.8,犬派,抹茶
S0200,後藤 裕太,男,3-B,2024-01,50,45,51,48,59,253,50.6,猫派,抹茶
S0201,中島 明美,女,3-C,2024-01,67,73,77,72,72,361,72.2,犬派,抹茶
S0202,石井 桃子,女,1-A,2024-01,52,45,76,47,52,272,54.4,猫派,抹茶
S0203,佐藤 直樹,男,2-A,2024-01,68,56,71,52,62,309,61.8,猫派,抹茶
S0204,渡辺 零,男,2-D,2024-01,78,45,60,63,61,307,61.4,猫派,抹茶
S0205,山田 真綾,女,3-B,2024-01,65,67,65,76,89,362,72.4,猫派,抹茶
S0206,高橋 康弘,男,3-B,2024-01,47,60,87,53,78,325,65,猫派,抹茶
S0207,岡本 晃,男,3-C,2024-01,89,100,100,91,93,473,94.6,犬派,玉露
S0208,松田 直樹,男,3-A,2024-01,51,54,49,61,53,268,53.6,犬派,抹茶
S0209,木村 結衣,女,3-D,2024-01,57,76,81,53,77,344,68.8,猫派,抹茶
S0210,木村 知実,女,1-C,2024-01,76,100,92,81,87,436,87.2,犬派,玉露
S0211,前田 裕太,男,2-D,2024-01,79,83,69,80,64,375,75,犬派,抹茶
S0212,佐藤 亮介,男,2-C,2024-01,59,60,80,79,74,352,70.4,猫派,抹茶
S0213,前田 真綾,女,3-B,2024-01,50,65,55,76,57,303,60.6,犬派,抹茶
S0214,佐藤 陽子,女,1-C,2024-01,69,74,71,79,82,375,75,犬派,抹茶
S0215,加藤 加奈,女,2-D,2024-01,44,39,63,47,36,229,45.8,猫派,煎茶
S0216,高橋 香織,女,2-B,2024-01,100,75,84,76,74,409,81.8,猫派,玉露
S0217,山口 淳,男,2-D,2024-01,80,86,87,77,93,423,84.6,猫派,玉露
S0218,加藤 康弘,男,2-D,2024-01,59,72,58,67,67,323,64.6,犬派,抹茶
S0219,山口 知実,女,1-D,2024-01,91,86,94,100,91,462,92.4,犬派,玉露
S0220,小林 七夏,女,1-D,2024-01,57,59,67,64,68,315,63,猫派,抹茶
S0221,藤井 直人,男,2-C,2024-01,76,70,75,71,51,343,68.6,犬派,抹茶
S0222,渡辺 知実,女,2-C,2024-01,54,43,61,71,68,297,59.4,猫派,抹茶
S0223,藤田 篤司,男,3-B,2024-01,81,68,63,60,63,335,67,猫派,抹茶
S0224,伊藤 篤司,男,1-D,2024-01,65,65,64,68,76,338,67.6,猫派,抹茶
S0225,鈴木 知実,女,3-B,2024-01,69,58,93,70,81,371,74.2,猫派,抹茶
S0226,中村 真綾,女,3-D,2024-01,34,57,60,46,26,223,44.6,犬派,煎茶
S0227,村上 春香,女,1-A,2024-01,65,47,63,61,67,303,60.6,猫派,抹茶
S0228,鈴木 陽子,女,1-D,2024-01,62,83,70,71,62,348,69.6,犬派,抹茶
S0229,高橋 修平,男,2-C,2024-01,54,61,80,49,47,291,58.2,猫派,抹茶
S0230,森 さゆり,女,3-C,2024-01,89,85,100,86,100,460,92,猫派,玉露
S0231,清水 結衣,女,3-C,2024-01,75,100,74,87,83,419,83.8,犬派,玉露
S0232,鈴木 花子,女,3-D,2024-01,100,89,81,94,82,446,89.2,犬派,玉露
S0233,太田 千代,女,2-C,2024-01,100,96,100,86,90,472,94.4,猫派,玉露
S0234,高橋 学,男,1-B,2024-01,81,77,93,99,95,445,89,猫派,玉露
S0235,高橋 結衣,女,1-B,2024-01,77,70,99,81,82,409,81.8,猫派,玉露
S0236,山崎 淳,男,1-D,2024-01,95,94,100,83,99,471,94.2,猫派,玉露
S0237,吉田 春香,女,3-C,2024-01,73,86,75,76,81,391,78.2,犬派,抹茶
S0238,渡辺 治,男,1-C,2024-01,56,54,44,85,53,292,58.4,犬派,抹茶
S0239,田中 零,男,2-B,2024-01,63,69,74,75,60,341,68.2,犬派,抹茶
S0240,中村 裕美子,女,1-B,2024-01,70,65,83,72,74,364,72.8,猫派,抹茶
S0241,佐藤 くみ子,女,1-A,2024-01,91,81,66,83,73,394,78.8,犬派,抹茶
S0242,山口 真綾,女,3-B,2024-01,67,74,62,65,79,347,69.4,犬派,抹茶
S0243,田中 真綾,女,1-A,2024-01,99,79,56,81,77,392,78.4,犬派,抹茶
S0244,田中 春香,女,2-D,2024-01,96,87,77,87,80,427,85.4,犬派,玉露
S0245,佐藤 あすか,女,2-B,2024-01,67,77,65,49,65,323,64.6,猫派,抹茶
S0246,井上 亮介,男,2-D,2024-01,81,86,88,80,94,429,85.8,猫派,玉露
S0247,遠藤 裕樹,男,1-D,2024-01,72,59,63,75,64,333,66.6,犬派,抹茶
S0248,伊藤 加奈,女,1-A,2024-01,91,98,100,81,78,448,89.6,猫派,玉露
S0249,渡辺 修平,男,1-C,2024-01,59,41,72,41,48,261,52.2,猫派,抹茶
S0250,山口 裕太,男,1-A,2024-01,100,100,100,100,99,499,99.8,犬派,玉露
S0251,松田 知実,女,3-B,2024-01,76,73,81,79,77,386,77.2,猫派,抹茶
S0252,小林 裕美子,女,2-D,2024-01,89,81,95,69,78,412,82.4,猫派,玉露
S0253,三浦 花子,女,3-D,2024-01,40,58,58,74,65,295,59,犬派,抹茶
S0254,山田 くみ子,女,3-A,2024-01,73,66,60,52,45,296,59.2,猫派,抹茶
S0255,林 陽一,男,1-B,2024-01,75,83,79,59,53,349,69.8,犬派,抹茶
S0256,長谷川 里佳,女,3-A,2024-01,54,75,70,67,56,322,64.4,犬派,抹茶
S0257,山本 洋介,男,1-B,2024-01,72,66,48,77,95,358,71.6,猫派,抹茶
S0258,山下 涼平,男,1-A,2024-01,90,88,99,84,97,458,91.6,猫派,玉露
S0259,山口 くみ子,女,2-D,2024-01,93,80,79,72,73,397,79.4,猫派,抹茶
S0260,小林 加奈,女,1-B,2024-01,70,75,58,81,63,347,69.4,犬派,抹茶
S0261,木村 加奈,女,3-C,2024-01,62,45,78,77,66,328,65.6,猫派,抹茶
S0262,山田 千代,女,1-B,2024-01,76,55,65,78,58,332,66.4,犬派,抹茶
S0263,小川 花子,女,3-B,2024-01,60,79,74,58,86,357,71.4,猫派,抹茶
S0264,伊藤 裕美子,女,1-B,2024-01,50,60,70,48,59,287,57.4,猫派,抹茶
S0265,岡本 晃,男,2-B,2024-01,83,78,72,68,77,378,75.6,猫派,抹茶
S0266,後藤 浩,男,1-B,2024-01,24,58,62,30,43,217,43.4,犬派,煎茶
S0267,山田 明美,女,3-C,2024-01,99,79,72,77,93,420,84,猫派,玉露
S0268,前田 裕美子,女,1-D,2024-01,52,55,50,61,76,294,58.8,猫派,抹茶
S0269,鈴木 直子,女,3-D,2024-01,72,71,59,83,74,359,71.8,犬派,抹茶
S0270,鈴木 里佳,女,3-D,2024-01,99,70,59,63,78,369,73.8,猫派,抹茶
S0271,高橋 花子,女,1-A,2024-01,57,80,65,90,82,374,74.8,犬派,抹茶
S0272,木村 知実,女,3-C,2024-01,76,63,71,68,54,332,66.4,猫派,抹茶
S0273,伊藤 さゆり,女,1-A,2024-01,70,56,56,50,64,296,59.2,猫派,抹茶
S0274,山本 零,男,3-A,2024-01,90,100,100,100,100,490,98,犬派,玉露
S0275,清水 七夏,女,3-A,2024-01,58,52,63,65,79,317,63.4,猫派,抹茶
S0276,佐々木 聡太郎,男,2-D,2024-01,81,80,75,82,75,393,78.6,犬派,抹茶
S0277,石川 舞,女,1-D,2024-01,85,62,83,85,71,386,77.2,猫派,抹茶
S0278,岡本 春香,女,1-D,2024-01,32,51,37,28,33,181,36.2,犬派,煎茶
S0279,山本 春香,女,2-C,2024-01,88,80,78,78,73,397,79.4,猫派,抹茶
S0280,鈴木 明美,女,3-A,2024-01,91,100,100,100,89,480,96,犬派,玉露
S0281,井上 太郎,男,2-D,2024-01,75,67,79,64,87,372,74.4,猫派,抹茶
S0282,山田 春香,女,2-D,2024-01,65,65,60,68,58,316,63.2,犬派,抹茶
S0283,中村 英樹,男,2-A,2024-01,69,84,100,73,76,402,80.4,猫派,玉露
S0284,木村 明美,女,2-C,2024-01,79,81,82,84,88,414,82.8,猫派,玉露
S0285,伊藤 涼平,男,2-A,2024-01,73,82,95,74,66,390,78,猫派,抹茶
S0286,鈴木 舞,女,2-A,2024-01,85,64,95,81,85,410,82,猫派,玉露
S0287,高橋 健一,男,3-C,2024-01,76,82,70,80,72,380,76,犬派,抹茶
S0288,近藤 さゆり,女,3-D,2024-01,87,71,91,75,89,413,82.6,猫派,玉露
S0289,佐々木 亮介,男,1-C,2024-01,93,73,72,75,72,385,77,猫派,抹茶
S0290,石川 直樹,男,2-D,2024-01,65,71,71,91,99,397,79.4,犬派,抹茶
S0291,山崎 明美,女,1-A,2024-01,66,69,80,59,70,344,68.8,猫派,抹茶
S0292,斉藤 智也,男,3-B,2024-01,89,86,94,57,91,417,83.4,猫派,玉露
S0293,橋本 桃子,女,3-A,2024-01,41,65,73,58,69,306,61.2,犬派,抹茶
S0294,佐藤 直子,女,1-B,2024-01,100,100,100,94,78,472,94.4,犬派,玉露
S0295,坂本 篤司,男,2-A,2024-01,57,88,64,67,71,347,69.4,犬派,抹茶
S0296,藤井 和也,男,2-C,2024-01,87,64,72,63,57,343,68.6,猫派,抹茶
S0297,高橋 加奈,女,2-D,2024-01,60,56,53,46,59,274,54.8,猫派,抹茶
S0298,鈴木 裕美子,女,1-D,2024-01,55,48,32,44,39,218,43.6,犬派,煎茶
